Experiment,Distance,Control,Add_ATP,Wait
LG,0,34,30.6667,32.6667
LG,1.8869,34.6667,37,37
LG,3.7738,40,40.3333,36.6667
LG,5.6607,40.6667,45.3333,44.6667
LG,7.5476,45.3333,41.3333,41.6667
LG,9.4345,44.3333,50,44.6667
LG,11.3214,46.3333,48,47
LG,13.2083,48.6667,44.6667,46
LG,15.0952,50.3333,49.3333,47
LG,16.9821,50.3333,42,47.3333
LG,18.869,44.6667,49,44
LG,20.756,48.6667,49.3333,44
LG,22.6429,48.3333,50,46.3333
LG,24.5298,48,53,49.3333
LG,26.4167,52.6667,52,49.3333
LG,28.3036,52,51.3333,50
LG,30.1905,52.3333,53.3333,49.6667
LG,32.0774,51.6667,52.3333,48.6667
LG,33.9643,50,53.3333,50
LG,35.8512,50,54.3333,47.3333
LG,37.7381,51.3333,54.3333,48.6667
LG,39.625,50.3333,50,46
LG,41.5119,50,55.6667,45.3333
LG,43.3988,51.3333,53.3333,49
LG,45.2857,51.3333,54.3333,49
LG,47.1726,49,54.3333,48.6667
LG,49.0595,51.3333,52.6667,50.3333
LG,50.9464,49.6667,54,50.3333
LG,52.8333,50.3333,53.6667,50
LG,54.7202,48.3333,52.6667,50.6667
LG,56.6071,50,52.3333,50.3333
LG,58.494,50.3333,51.6667,48
LG,60.381,48,51.3333,52.3333
LG,62.2679,49.3333,51.3333,50.3333
LG,64.1548,45.3333,47.6667,53
LG,66.0417,48.6667,52,53.6667
LG,67.9286,49.6667,53,51.6667
LG,69.8155,49.6667,53.3333,53
LG,71.7024,49,54,51.6667
LG,73.5893,51.3333,54,53.3333
LG,75.4762,50.3333,54,53
LG,77.3631,49.3333,52.6667,52.3333
LG,79.25,51,50.3333,51
LG,81.1369,49.3333,48.3333,49
LG,83.0238,49,51.3333,49
LG,84.9107,47,50,50.3333
LG,86.7976,50.6667,47,47
LG,88.6845,49,52.3333,48.6667
LG,90.5714,52,49.3333,47
LG,92.4583,51,55,49
LG,94.3452,51,56,49.6667
LG,96.2321,49.6667,57.3333,51.3333
LG,98.119,51,55.6667,50.6667
LG,100.006,51,51,51
LG,101.893,52.6667,51.3333,49
LG,103.78,52,53.6667,47
LG,105.667,52.3333,56.6667,48.3333
LG,107.554,51.6667,55,49
LG,109.441,52.3333,55.3333,50.6667
LG,111.327,53,57,53.3333
LG,113.214,53.6667,54.6667,53.3333
LG,115.101,52.6667,51,50.6667
LG,116.988,52.6667,50,50.6667
LG,118.875,52.3333,52.3333,47
LG,120.762,53.6667,52.6667,50.3333
LG,122.649,52,48,52.6667
LG,124.536,56,52,49.3333
LG,126.423,52.3333,50.6667,53.6667
LG,128.31,54.3333,53,53.3333
LG,130.196,54.3333,52.6667,56
LG,132.083,50.6667,49.3333,51.6667
LG,133.97,52.3333,53,49.6667
LG,135.857,54.3333,51,57
LG,137.744,51,53.3333,54.3333
LG,139.631,55.6667,52.3333,52.3333
LG,141.518,54.3333,53.3333,54
LG,143.405,53.3333,48.6667,51
LG,145.292,51.3333,51.6667,51
LG,147.179,50.6667,51,49
LG,149.065,50.6667,48.3333,50.6667
LG,150.952,49.6667,47.3333,46.3333
LG,152.839,49,47.6667,45.3333
LG,154.726,50.3333,50,47.6667
LG,156.613,49.3333,50,49.3333
LG,158.5,51.3333,53.3333,48.6667
LG,160.387,53.3333,52,54.6667
LG,162.274,54.3333,59.3333,54
LG,164.161,56,59,55.6667
LG,166.048,56,57,55
LG,167.935,56,57.6667,54.3333
LG,169.821,55.6667,57.6667,56
LG,171.708,54.3333,58.3333,56
LG,173.595,53.3333,56.6667,56.6667
LG,175.482,52.3333,58,56.3333
LG,177.369,50.3333,53.6667,54.6667
LG,179.256,50.3333,53.3333,52
LG,181.143,51,53,53
LG,183.03,47.6667,51.6667,52.3333
LG,184.917,48.6667,54,52.6667
LG,186.804,49.6667,54.3333,52.6667
LG,188.69,51.3333,51.6667,49.6667
LG,190.577,52,55,50
LG,192.464,50.6667,51.6667,48.6667
LG,194.351,50.6667,51.3333,47
LG,196.238,49,49.6667,47.6667
LG,198.125,52,48.6667,48
LG,200.012,51,51.3333,48
LG,201.899,50.6667,53,50
LG,203.786,52.6667,53.6667,46.3333
LG,205.673,51,51,48
LG,207.56,51.6667,55,49.6667
LG,209.446,53.3333,51.3333,49.3333
LG,211.333,52,53,49
LG,213.22,51.6667,51.3333,49
LG,215.107,51.6667,51.3333,48
LG,216.994,48.6667,51.3333,48.3333
LG,218.881,48.3333,48.3333,49
LG,220.768,48.6667,50.3333,48.3333
LG,222.655,48,52,46.6667
LG,224.542,49.6667,48.3333,50
LG,226.429,48.3333,49.6667,50.6667
LG,228.315,50,49.6667,49.6667
LG,230.202,47.6667,47,50
LG,232.089,48.6667,50.3333,49
LG,233.976,49.6667,50.6667,49
LG,235.863,47,50,50.3333
LG,237.75,47.3333,50,47.6667
LG,239.637,47.6667,48,48.3333
LG,241.524,47,46.6667,49.3333
LG,243.411,50,50,50
LG,245.298,46.3333,47.6667,46.6667
LG,247.185,46.3333,48,49.3333
LG,249.071,48.3333,49,47.3333
LG,250.958,47,48.3333,47.3333
LG,252.845,46,49.6667,48
LG,254.732,47,48,47.3333
LG,256.619,45.3333,48,44.6667
LG,258.506,46,45,45
LG,260.393,48.3333,42.6667,42.3333
LG,262.28,46,49.6667,42.6667
LG,264.167,43.6667,48,43.6667
LG,266.054,44.3333,45.3333,41.3333
LG,267.94,45.6667,45,44.3333
LG,269.827,47,46,42.6667
LG,271.714,45,46.3333,40.3333
LG,273.601,45,45,40.6667
LG,275.488,44.3333,49.6667,41.3333
LG,277.375,41.6667,48.6667,42.6667
LG,279.262,44.3333,48.3333,41.6667
LG,281.149,44.6667,49,41.6667
