distance,dg,dg.ctrl,amppcp,amppcp.ctrl,mannose.ctrl,mannose,lg.ctrl,lg
0,77.1667,81.3333,94.6667,90.3333,75.0,69,34,30.6667
1.8884,81,87.3333,102.667,96.3333,89.0,83,34.6667,37
3.7768,84.8333,93.3333,123.333,93.6667,81.0,75,40,40.3333
5.6652,89.5,96.6667,128.333,109.333,79.0,73,40.6667,45.3333
7.5535,92.3333,100,128.667,116.667,91.0,85,45.3333,41.3333
9.4419,93.1667,97.3333,129,129.333,85.0,79,44.3333,50
11.3303,93.5,100.333,132.667,139,85.0,79,46.3333,48
13.2187,92.8333,98.6667,138,129.667,86.0,80,48.6667,44.6667
15.1071,92.3333,97.3333,127.333,140.333,82.0,76,50.3333,49.3333
16.9955,92.8333,99.6667,122.333,145.667,85.0,79,50.3333,42
18.8839,93.5,98.6667,132.333,146.333,92.0,86,44.6667,49
20.7723,95,98,115.333,148.333,90.0,84,48.6667,49.3333
22.6606,94.6667,100.333,134,145.667,88.0,82,48.3333,50
24.549,94.5,98.3333,131,145.333,94.0,88,48,53
26.4374,96,98,127.667,147.333,90.0,84,52.6667,52
28.3258,96,99.6667,124.667,150.333,83.0,77,52,51.3333
30.2142,96.3333,101,124.333,147.667,86.0,80,52.3333,53.3333
32.1026,96.3333,101.333,127,140,88.0,82,51.6667,52.3333
33.991,96.1667,100.333,146,137,85.0,79,50,53.3333
35.8794,96.3333,98,154.333,143,93.0,87,50,54.3333
37.7677,96.6667,100.333,157.333,143.333,84.0,78,51.3333,54.3333
39.6561,97.1667,99,157.667,142.667,88.0,82,50.3333,50
41.5445,97.1667,102,149.667,142.667,90.0,84,50,55.6667
43.4329,96.5,103,150,149.667,87.0,81,51.3333,53.3333
45.3213,96,101,143,145,83.0,77,51.3333,54.3333
47.2097,95.8333,101,147,143.667,87.0,81,49,54.3333
49.0981,96,100.667,151.667,146.667,83.0,77,51.3333,52.6667
50.9865,96.5,103.333,148.667,149.333,84.0,78,49.6667,54
52.8748,96.6667,103,144.333,146,83.0,77,50.3333,53.6667
54.7632,97.6667,103,147,143.667,86.0,80,48.3333,52.6667
56.6516,98,101.667,143.667,145,91.0,85,50,52.3333
58.54,98.1667,103,158,150.667,87.0,81,50.3333,51.6667
60.4284,98.1667,103,160.667,147,84.0,78,48,51.3333
62.3168,97.5,102,160.333,140,92.0,86,49.3333,51.3333
64.2052,97.8333,100.667,164.333,146.333,88.0,82,45.3333,47.6667
66.0936,98,102.667,164.333,147.667,91.0,85,48.6667,52
67.9819,98.1667,101,161.667,144.333,87.0,81,49.6667,53
69.8703,98.8333,103.667,155.667,138.333,97.0,91,49.6667,53.3333
71.7587,99.5,101.667,156.667,144.333,88.0,82,49,54
73.6471,99.1667,102.667,164.333,153.333,91.0,85,51.3333,54
75.5355,99.1667,103,157,154.333,85.0,79,50.3333,54
77.4239,100.167,101,157.667,152.333,86.0,80,49.3333,52.6667
79.3123,101,101.667,153,152.333,88.0,82,51,50.3333
81.2006,100.833,102.667,145.333,155.667,80.0,84,49.3333,48.3333
83.089,100.833,100.333,153.667,156,89.0,83,49,51.3333
84.9774,101.667,100.333,162.333,158.333,84.0,88,47,50
86.8658,100.667,102,165,157.333,83.0,87,50.6667,47
88.7542,100.333,101.667,164.333,156,80.0,84,49,52.3333
90.6426,101,102,165,158.333,86.0,90,52,49.3333
92.531,101.5,102.667,168.333,157.333,88.0,92,51,55
94.4194,102.5,101.333,158,157.333,84.0,88,51,56
96.3077,102.333,104,149,159.667,89.0,91,49.6667,57.3333
98.1961,102.333,102.667,150.667,161.667,89.0,88,51,55.6667
100.0845,102.833,101.667,160.333,161,91.0,86,51,51
101.9729,102.667,101.667,158,162.667,95.0,87,52.6667,51.3333
103.8613,103.333,103,156,162.667,91.0,97,52,53.6667
105.7497,103.833,104.333,153,162,86.0,91,52.3333,56.6667
107.6381,103.833,103,149,160,94.0,94,51.6667,55
109.5265,104.333,103.667,154.667,162,86.0,96,52.3333,55.3333
111.4148,104.333,103,168,160.667,91.0,84,53,57
113.3032,104.333,101.333,170,159.333,85.0,95,53.6667,54.6667
115.1916,105,105.333,162.667,161,93.0,96,52.6667,51
117.08,105.833,104,169,161.333,86.0,94,52.6667,50
118.9684,105.167,102.667,173.333,165,94.0,91,52.3333,52.3333
120.8568,105.5,104,175.333,176.667,87.0,93,53.6667,52.6667
122.7452,106.333,103,167.333,175.333,91.0,91,52,48
124.6336,106.667,104.333,164.333,175.667,86.0,98,56,52
126.5219,107.333,105.333,168.333,176,96.0,90,52.3333,50.6667
128.4103,106.833,108,168.333,170,86.0,82,54.3333,53
130.2987,106.333,104,174.667,173.333,92.0,94,54.3333,52.6667
132.1871,106.833,105.333,176.333,171,83.0,95,50.6667,49.3333
134.0755,107.5,105.667,178.667,167.333,101.0,96,52.3333,53
135.9639,107.333,105.333,179.333,166.333,101.0,99,54.3333,51
137.8523,107.667,105.333,177.333,165.667,89.0,97,51,53.3333
139.7406,108.333,106.333,176,169.333,95.0,89,55.6667,52.3333
141.629,109,106,178.333,168.667,95.0,95,54.3333,53.3333
143.5174,109.5,105.667,178.667,167,96.0,84,53.3333,48.6667
145.4058,109.333,104,177.333,165,93.0,99,51.3333,51.6667
147.2942,109,104.333,170,173.333,95.0,94,50.6667,51
149.1826,108.5,103.667,174,174.333,98.0,89,50.6667,48.3333
151.071,108.833,105.333,170,168,90.0,92,49.6667,47.3333
152.9594,109.833,105.667,171,166.333,88.0,89,49,47.6667
154.8477,110,104.333,172,171,95.0,95,50.3333,50
156.7361,109.167,104.667,161.667,172.333,91.0,98,49.3333,50
158.6245,109.333,105.667,162,170,96.0,88,51.3333,53.3333
160.5129,111,104.667,170.667,172.667,86.0,86,53.3333,52
