distance,dg,dg.ctrl,amppcp,amppcp.ctrl,mannose.ctrl,mannose,lg.ctrl,lg
162.4013,112.333,106,171.667,173.667,94.0,96,54.3333,59.3333
164.2897,112,104,171.667,177,84.0,97,56,59
166.1781,111.833,104.667,168,170.667,87.0,97,56,57
168.0665,111,105,165,174.333,84.0,98,56,57.6667
169.9548,110.667,104.667,165,173.667,93.0,90,55.6667,57.6667
171.8432,111.167,106.667,167,174.667,96.0,99,54.3333,58.3333
173.7316,109.333,104.333,173,170.667,94.0,92,53.3333,56.6667
175.62,108.667,104.333,158.333,171,91.0,98,52.3333,58
177.5084,110.5,106.667,174.667,170.333,100.0,91,50.3333,53.6667
179.3968,110.833,105.667,173,168.667,98.0,96,50.3333,53.3333
181.2852,109.833,105.333,168,165.667,92.0,99,51,53
183.1736,110,105,171,166,92.0,93,47.6667,51.6667
185.0619,110.667,105.333,172.667,171,90.0,99,48.6667,54
186.9503,111.5,106,174.333,167.667,97.0,98,49.6667,54.3333
188.8387,111,105,167.333,165.333,92.0,94,51.3333,51.6667
190.7271,109,105.667,171.667,163,90.0,96,52,55
192.6155,109,106.667,168.667,169,94.0,93,50.6667,51.6667
194.5039,110.167,104.667,170.333,167,93.0,100,50.6667,51.3333
196.3923,109.5,106,172.667,164.667,95.0,101,49,49.6667
198.2806,108.167,104,168.333,166.333,91.0,99,52,48.6667
200.169,108,104,169.333,168.333,89.0,89,51,51.3333
202.0574,107.5,106,169.667,164.667,89.0,94,50.6667,53
203.9458,105.667,106.333,167.667,161.667,90.0,95,52.6667,53.6667
205.8342,105.333,104,168.667,166,92.0,94,51,51
207.7226,105.667,103.333,163.333,167.333,94.0,95,51.6667,55
209.611,106,104.333,166.333,162,89.0,91,53.3333,51.3333
211.4994,106.333,105.333,167.667,162.333,91.0,97,52,53
213.3877,105.667,103.333,165.333,165.333,98.0,91,51.6667,51.3333
215.2761,105.333,105.667,163.333,165,93.0,95,51.6667,51.3333
217.1645,105,103.333,164,161,91.0,94,48.6667,51.3333
219.0529,104,103,160.333,161.333,92.0,98,48.3333,48.3333
220.9413,103.833,104,160.333,158.667,88.0,91,48.6667,50.3333
222.8297,104.167,103.667,161,159.667,94.0,94,48,52
224.7181,102.667,102.667,162,154,87.0,95,49.6667,48.3333
226.6065,101.333,101,160.333,158.667,88.0,88,48.3333,49.6667
228.4948,101.5,102.333,163.667,156.667,88.0,87,50,49.6667
230.3832,102,103,161.333,152,93.0,83,47.6667,47
232.2716,102,102,163.667,153.333,89.0,91,48.6667,50.3333
234.16,101.5,101.667,159,151.667,90.0,82,49.6667,50.6667
236.0484,101.167,99.6667,152.667,154.667,90.0,87,47,50
237.9368,101.167,103,160,151.667,91.0,81,47.3333,50
239.8252,100.833,100.667,158.333,151.667,89.0,87,47.6667,48
241.7135,100.167,102.667,154,146.667,95.0,83,47,46.6667
243.6019,100.333,101,135.333,151,88.0,86,50,50
245.4903,99.5,102,153.333,151.667,92.0,81,46.3333,47.6667
247.3787,99.8333,101,154.333,147,92.0,80,46.3333,48
249.2671,100,101.667,150.667,144.667,92.0,82,48.3333,49
251.1555,99.1667,100.667,138.333,144.667,92.0,76,47,48.3333
253.0439,99.3333,101,148.667,143.667,85.0,89,46,49.6667
254.9323,99.6667,101.333,149.333,142.333,87.0,75,47,48
256.8206,99.6667,103,150.667,139.667,94.0,86,45.3333,48
258.709,99.1667,100.333,147.667,137.333,87.0,80,46,45
260.5974,99.1667,99.3333,148,139.667,81.0,84,48.3333,42.6667
262.4858,98.3333,101.333,150.333,142,94.0,80,46,49.6667
264.3742,97.5,101,153.667,139,93.0,80,43.6667,48
266.2626,96.6667,100.333,150,135,90.0,83,44.3333,45.3333
268.151,95.6667,100.333,148,133,86.0,83,45.6667,45
270.0394,96,100.667,150,146.333,96.0,81,47,46
271.9277,96.1667,100,144,134.667,91.0,87,45,46.3333
273.8161,95.3333,99.3333,140,137.333,85.0,79,45,45
275.7045,94.6667,99.3333,138,138.667,93.0,87,44.3333,49.6667
277.5929,94.1667,98.6667,140.667,142.333,87.0,83,41.6667,48.6667
279.4813,94.1667,99,138.333,139.333,84.0,84,44.3333,48.3333
281.3697,94.3333,99,138,135.333,82.0,81,44.6667,49
283.2581,94.5,99,138.667,135,97.0,81,43,47.6667
285.1465,94.1667,99,134.667,133.667,86.0,76,42.6667,37
287.0349,94.1667,97,131.667,136,89.0,76,43.3333,45.6667
288.9232,94.6667,99,120.667,134,92.0,78,43,44.3333
290.8116,94.3333,99,120.667,135,81.0,78,41.3333,42.3333
292.7,94.5,99.3333,120.667,134.333,82.0,75,40.3333,44.3333
294.5884,94.3333,97.6667,123.667,137.667,90.0,75,40.3333,42.6667
296.4768,94,97.3333,125,133.667,87.0,77,39,42.3333
298.3652,94,97.3333,123,135.667,82.0,79,37.6667,41
300.2535,93.3333,97,125,131.667,92.0,78,37.6667,39
302.1419,92.8333,97.6667,114.667,129.333,83.0,79,37,44
304.0303,92.8333,96.6667,108.667,131.667,87.0,72,39.6667,40.6667
305.9187,91.6667,97.6667,108.333,131,83.0,79,40,41.3333
307.8071,90.3333,98,107,131.333,80.0,71,39,41
309.6955,90.6667,97.3333,111.333,130,82.0,75,38.6667,40.3333
311.5839,91.3333,96.6667,108,133,83.0,72,36.3333,37
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
